utterance,studentActions_raw,label
e vicino al doggo rosa is my guess at this point.,"['True', 'False', 'False', 'False']",Guess
how do you say on top of?,"['False', 'True', 'False', 'False']",Question
l cane e di fronte al blu coniglio,"['True', 'False', 'False', 'False']",Guess
What is the word for blue?,"['False', 'True', 'False', 'False']",Question
What is yellow box in Italian?,"['False', 'True', 'False', 'False']",Question
Is it il gatto alla rosa scatola/,"['False', 'False', 'True', 'False']",Affirmation
how do you say table?,"['False', 'True', 'False', 'False']",Question
il gatto e di fronte alla scatola,"['True', 'False', 'False', 'False']",Guess
il cane e tavalo rojo,"['True', 'False', 'False', 'False']",Guess
La palla es under e letto rojo,"['True', 'False', 'False', 'False']",Guess
"Okay, e sotto l'albero azul","['True', 'False', 'False', 'False']",Guess
il coniglio e dentro la scavalo rosa,"['True', 'False', 'False', 'False']",Guess
What are the Italian words for under and red?,"['False', 'True', 'False', 'False']",Question
e vicino al arborio purplio,"['True', 'False', 'False', 'False']",Guess
la borsa e dietro la gialla scatola.,"['False', 'False', 'True', 'False']",Affirmation
e vicino alla il botano rojo. ,"['True', 'False', 'False', 'False']",Guess
il gatto e vicino all'abero blu.,"['True', 'False', 'False', 'False']",Guess
what is the word for bag?,"['False', 'True', 'False', 'False']",Question
il coniglio,"['True', 'False', 'False', 'False']",Guess
il cane e di fronte al l'letto viola?,"['True', 'False', 'False', 'False']",Guess
"Is the word for pink tree rosa all'albero?
","['True', 'False', 'False', 'False']",Guess
"How do you say ""yellow?","['False', 'True', 'False', 'False']",Question
il gatto,"['True', 'False', 'False', 'False']",Guess
la pianta e accanto al rosa letto,"['True', 'False', 'False', 'False']",Guess
"What was the word for ""tree"" again?","['False', 'True', 'False', 'False']",Question
what is tree?,"['False', 'True', 'False', 'False']",Question
Il gatto e di fronte al coniglio ,"['True', 'False', 'False', 'False']",Guess
"I'm missing the phrase ""is next to the."" How would you say that in Italian?","['False', 'True', 'False', 'False']",Question
What is behind?,"['False', 'True', 'False', 'False']",Question
La borsa e di fronte la viola scatola.,"['True', 'False', 'False', 'False']",Guess
e di fronte alla rosa scatola ,"['True', 'False', 'False', 'False']",Guess
what is box in italian?,"['False', 'True', 'False', 'False']",Question
"is in front of is e di fronte al, right?","['False', 'True', 'False', 'False']",Question
What is the word for inside?,"['False', 'True', 'False', 'False']",Question
il coniglio e deitro I'albero,"['True', 'False', 'False', 'False']",Guess
e in cima al tavulo aqua,"['True', 'False', 'False', 'False']",Guess
Right. Similar to other Romance languages. Sure.,"['False', 'False', 'True', 'False']",Affirmation
il cane letto giallo,"['True', 'False', 'False', 'False']",Guess
e dietro la scatola amarillo then is my guess.,"['True', 'False', 'False', 'False']",Guess
il gatto e de fronte al all'albero blu,"['True', 'False', 'False', 'False']",Guess
il gatto e di fronte alla,"['True', 'False', 'False', 'False']",Guess
"How do you say in front of?
","['False', 'True', 'False', 'False']",Question
il coniglio e di fronte l'albero viola,"['True', 'False', 'False', 'False']",Guess
e dietro al all'albero blu is my initial thought.,"['True', 'False', 'False', 'False']",Guess
e sotto il tablo rosa,"['True', 'False', 'False', 'False']",Guess
